KeV,Counts
0,6
2,0
4,1
6,0
8,0
10,1
12,1
14,0
16,1
18,2
20,5
22,10
24,29
26,34
28,55
30,55
32,61
34,66
36,68
38,62
40,88
42,89
44,69
46,109
48,120
50,205
52,445
54,1131
56,2555
58,5665
60,10954
62,19156
64,31816
66,47888
68,68919
70,93749
72,122241
74,162024
76,205768
78,255213
80,308754
82,364041
84,415417
86,462838
88,503241
90,539285
92,567236
94,587129
96,601348
98,613473
100,622579
102,627131
104,631137
106,633739
108,622875
110,636284
112,636853
114,636485
116,636109
118,636884
120,635127
122,636261
124,637323
126,634636
128,633065
130,633544
132,631330
134,632763
136,630341
138,628658
140,629236
142,628045
144,617138
146,627732
148,625561
150,626040
152,624644
154,625116
156,624975
158,623931
160,625676
162,626471
164,627101
166,626098
168,629882
170,631604
172,632722
174,635358
176,636781
178,640649
180,631301
182,644944
184,644122
186,648117
188,649492
190,650214
192,651617
194,652585
196,653380
198,654021
200,653026
202,654147
204,654341
206,654864
208,655282
210,654970
212,653016
214,654956
216,642342
218,655323
220,653421
222,652738
224,654309
226,652705
228,654260
230,655411
232,654049
234,655064
236,655406
238,654932
240,655518
242,658387
244,658394
246,660846
248,661420
250,664472
252,668522
254,661064
256,679522
258,688034
260,695615
262,706469
264,717548
266,734034
268,749151
270,764824
272,783510
274,803025
276,822337
278,842312
280,861520
282,882649
284,899367
286,916287
288,930139
290,924300
292,948514
294,956574
296,959824
298,962142
300,962430
302,959268
304,955934
306,952286
308,944275
310,937497
312,929959
314,922375
316,913935
318,904703
320,893958
322,886925
324,878062
326,853464
328,861158
330,852922
332,845349
334,838037
336,830438
338,821838
340,815560
342,808606
344,800403
346,795324
348,788446
350,779989
352,775614
354,769576
356,765324
358,757654
360,751075
362,733471
364,740366
366,736922
368,732099
370,724411
372,721650
374,716911
376,711513
378,706295
380,703291
382,696945
384,693591
386,690321
388,685991
390,681953
392,677654
394,676652
396,671285
398,656187
400,662889
402,661705
404,657998
406,653596
408,652475
410,648250
412,644504
414,640229
416,638867
418,634148
420,633500
422,629827
424,626541
426,622831
428,621863
430,618842
432,617205
434,603782
436,612407
438,608881
440,608357
442,604215
444,603564
446,602339
448,599305
450,596368
452,593869
454,593209
456,591501
458,589373
460,586582
462,586718
464,584660
466,582779
468,580342
470,579275
472,566093
474,577102
476,574958
478,572823
480,572406
482,571174
484,568809
486,566995
488,564261
490,564992
492,564443
494,562556
496,562502
498,561758
500,559264
502,559647
504,558051
506,557324
508,545465
510,555718
512,553669
514,553940
516,553322
518,551975
520,551140
522,552163
524,550277
526,549970
528,549896
530,546880
532,546465
534,547156
536,546353
538,545385
540,545583
542,544244
544,535502
546,544198
548,543652
550,544491
552,544188
554,541859
556,543095
558,542119
560,542357
562,541339
564,542552
566,542170
568,542413
570,541538
572,541633
574,541573
576,541323
578,542296
580,531111
582,541008
584,540573
586,542043
588,542758
590,542882
592,542527
594,543457
596,542757
598,543996
600,544447
602,545212
604,545948
606,545380
608,546626
610,546505
612,547977
614,549006
616,540748
618,550973
620,549716
622,552763
624,552307
626,554385
628,554136
630,555116
632,554859
634,554662
636,555749
638,554296
640,553536
642,552850
644,550188
646,547969
648,545857
650,543439
652,528720
654,533313
656,532052
658,525137
660,518868
662,511538
664,505131
666,497148
668,487470
670,477401
672,468300
674,456340
676,445833
678,434803
680,423784
682,411152
684,399089
686,387800
688,373790
690,355802
692,350073
694,338157
696,325595
698,314634
700,303614
702,292740
704,282830
706,273304
708,263613
710,253850
712,244532
714,236966
716,228720
718,222266
720,213691
722,207688
724,201891
726,191871
728,189593
730,184924
732,180884
734,175046
736,171393
738,166554
740,163010
742,159179
744,154785
746,152053
748,149007
750,145865
752,142381
754,140189
756,136695
758,134433
760,132280
762,127765
764,126933
766,125277
768,123078
770,121272
772,119656
774,117551
776,115410
778,114021
780,112361
782,110889
784,109036
786,108081
788,106565
790,106322
792,104980
794,103810
796,102865
798,99296
800,100107
802,100209
804,99476
806,98928
808,98508
810,97194
812,97458
814,97142
816,95955
818,95952
820,95393
822,95839
824,95607
826,95681
828,95912
830,96328
832,96679
834,94534
836,97057
838,96969
840,97449
842,98335
844,99778
846,100272
848,102083
850,103395
852,105504
854,108301
856,110378
858,114525
860,117901
862,123297
864,129412
866,136695
868,144597
870,150458
872,165024
874,177373
876,193153
878,209757
880,229161
882,251626
884,277253
886,307929
888,340716
890,378501
892,419751
894,465474
896,517781
898,574559
900,636418
902,705533
904,778929
906,859511
908,929500
910,1036190
912,1134593
914,1236484
916,1343897
918,1458742
920,1576540
922,1699118
924,1820312
926,1947876
928,2079132
930,2202686
932,2330841
934,2453830
936,2578083
938,2691751
940,2803361
942,2907497
944,2945818
946,3089653
948,3165191
950,3231356
952,3280451
954,3315713
956,3346794
958,3356724
960,3355649
962,3339255
964,3310313
966,3263988
968,3208580
970,3136579
972,3058290
974,2964779
976,2864929
978,2752712
980,2595059
982,2520952
984,2390034
986,2261571
988,2126080
990,1992523
992,1859618
994,1725776
996,1599234
998,1473428
1000,1350376
1002,1231758
1004,1120711
1006,1013730
1008,915567
1010,820842
1012,734888
1014,655289
1016,570247
1018,514152
1020,452222
1022,395511
1024,345390
1026,301650
1028,260573
1030,225671
1032,194312
1034,167226
1036,144095
1038,123137
1040,104478
1042,89416
1044,77047
1046,65444
1048,56259
1050,48428
1052,40815
1054,36176
1056,31740
1058,27471
1060,24754
1062,21828
1064,19512
1066,17931
1068,16392
1070,15363
1072,14313
1074,13623
1076,12998
1078,12335
1080,11853
1082,11617
1084,11457
1086,11130
1088,10739
1090,10777
1092,10645
1094,10508
1096,10473
1098,10495
1100,10380
1102,10252
1104,10212
1106,10201
1108,10142
1110,9919
1112,9825
1114,10113
1116,10001
1118,9832
1120,9966
1122,9784
1124,9785
1126,9551
1128,9613
1130,9658
1132,9378
1134,9589
1136,9436
1138,9413
1140,9606
1142,9527
1144,9507
1146,9213
1148,9332
1150,9232
1152,9266
1154,9455
1156,9114
1158,9361
1160,9220
