,freeze,Tracesample,buffer#,finefreeze,wc,Seconds,SecondsofDayNoPPS,TimeStampsNoPPS
3800,342151399,28,0,87590758272,87590757976,9.500000032858225e-05,73826.221878225,0 days 20:30:26.221878
3801,342151399,28,0,87590758272,87590757977,9.502500006419723e-05,73826.22187825,0 days 20:30:26.221878
3802,342151399,28,0,87590758272,87590757978,9.505000025455956e-05,73826.221878275,0 days 20:30:26.221878
3803,342151399,27,0,87590758272,87590757979,9.507499999017455e-05,73826.2218783,0 days 20:30:26.221878
3804,342151399,28,0,87590758272,87590757980,9.510000018053688e-05,73826.221878325,0 days 20:30:26.221878
3805,342151399,28,0,87590758272,87590757981,9.512499991615186e-05,73826.22187835,0 days 20:30:26.221878
3806,342151399,28,0,87590758272,87590757982,9.51500001065142e-05,73826.221878375,0 days 20:30:26.221878
3807,342151399,27,0,87590758272,87590757983,9.517500029687653e-05,73826.2218784,0 days 20:30:26.221878
3808,342151399,28,0,87590758272,87590757984,9.520000003249152e-05,73826.221878425,0 days 20:30:26.221878
3809,342151399,27,0,87590758272,87590757985,9.522500022285385e-05,73826.22187845,0 days 20:30:26.221878
3810,342151399,27,0,87590758272,87590757986,9.524999995846883e-05,73826.221878475,0 days 20:30:26.221878
3811,342151399,27,0,87590758272,87590757987,9.527500014883117e-05,73826.2218785,0 days 20:30:26.221879
3812,342151399,27,0,87590758272,87590757988,9.53000003391935e-05,73826.221878525,0 days 20:30:26.221879
3813,342151399,27,0,87590758272,87590757989,9.532500007480849e-05,73826.22187855,0 days 20:30:26.221879
3814,342151399,27,0,87590758272,87590757990,9.535000026517082e-05,73826.221878575,0 days 20:30:26.221879
3815,342151399,27,0,87590758272,87590757991,9.53750000007858e-05,73826.2218786,0 days 20:30:26.221879
3816,342151399,27,0,87590758272,87590757992,9.540000019114814e-05,73826.221878625,0 days 20:30:26.221879
3817,342151399,27,0,87590758272,87590757993,9.542499992676312e-05,73826.22187865,0 days 20:30:26.221879
3818,342151399,27,0,87590758272,87590757994,9.545000011712546e-05,73826.221878675,0 days 20:30:26.221879
3819,342151399,27,0,87590758272,87590757995,9.547500030748779e-05,73826.2218787,0 days 20:30:26.221879
3820,342151399,27,0,87590758272,87590757996,9.550000004310277e-05,73826.221878725,0 days 20:30:26.221879
3821,342151399,27,0,87590758272,87590757997,9.552500023346511e-05,73826.22187875,0 days 20:30:26.221879
3822,342151399,27,0,87590758272,87590757998,9.554999996908009e-05,73826.221878775,0 days 20:30:26.221879
3823,342151399,27,0,87590758272,87590757999,9.557500015944242e-05,73826.2218788,0 days 20:30:26.221879
3824,342151399,27,0,87590758272,87590758000,9.559999989505741e-05,73826.221878825,0 days 20:30:26.221879
3825,342151399,27,0,87590758272,87590758001,9.562500008541974e-05,73826.22187885,0 days 20:30:26.221879
3826,342151399,27,0,87590758272,87590758002,9.565000027578208e-05,73826.221878875,0 days 20:30:26.221879
3827,342151399,27,0,87590758272,87590758003,9.567500001139706e-05,73826.2218789,0 days 20:30:26.221879
3828,342151399,27,0,87590758272,87590758004,9.57000002017594e-05,73826.221878925,0 days 20:30:26.221879
